trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
321,False,"{'a': 0.5, 'e': 0.040110887486875496}",25,12,12.683786033708351,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.03970977861200674}",20,9,17.997185052420022,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.039312680825886674}",30,15,26.642581199893122,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.038919554017627804}",25,2,25.990262342910395,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.03853035847745152}",20,11,15.997509583050045,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.03814505489267701}",30,19,22.423580089530283,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.03776360434375024}",20,11,15.895965240579509,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.03738596830031274}",20,15,10.014402131814983,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.03701210861730961}",20,10,16.54594051256622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.03664198753113651}",25,7,30.347244708098884,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.036275567655825146}",20,11,12.793895473243595,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.03591281197926689}",25,12,22.39602869922372,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.035553683859474224}",20,8,24.607037907228253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.035198147020879485}",20,10,17.311921819350356,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.03484616555067069}",20,8,5.863082929610201,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.03449770389516398}",25,3,32.03033030269951,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.03415272685621234}",20,14,13.453826552001873,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.03381119958765022}",30,10,38.363403375326804,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.03347308759177372}",20,16,8.870807333379624,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.03313835671585598}",20,9,22.252621204730968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.03280697314869742}",25,10,9.114519535104654,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.03247890341721044}",25,11,25.03958420461322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.03215411438303834}",25,13,21.166871533406702,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.031832573239207955}",20,10,4.797984719188598,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.031514247506815876}",20,6,4.015400918557436,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.031199105031747717}",25,2,34.02780983973034,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.03088711398143024}",25,8,24.85140167696455,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.030578242841615935}",30,15,29.610480427613865,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.030272460413199778}",20,10,16.02043290598873,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.02996973580906778}",20,9,9.192961695323214,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.029670038450977102}",20,12,15.882413613117667,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.02937333806646733}",20,13,12.012382287782057,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
