trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
291,False,"{'a': 0.05, 'e': 0.05422585810406326}",20,10,16.266891055899492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.05, 'e': 0.05368359952302263}",30,20,21.011216808035563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.05, 'e': 0.0531467635277924}",30,19,21.841859514051166,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.05, 'e': 0.05261529589251448}",25,20,9.166738409001859,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.05, 'e': 0.05208914293358933}",25,3,33.4508568534697,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.05, 'e': 0.05156825150425344}",20,10,17.75832062147156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.05, 'e': 0.0510525689892109}",20,9,1.0593882821093592,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.05, 'e': 0.050542043299318794}",25,16,15.855190355023357,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.05, 'e': 0.050036622866325604}",20,5,27.510905228322837,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.05, 'e': 0.04953625663766235}",20,9,20.208069322099274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.05, 'e': 0.04904089407128572}",30,14,29.237265564072125,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.05, 'e': 0.04855048513057287}",20,8,-19.382941032572546,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
303,False,"{'a': 0.05, 'e': 0.04806498027926714}",20,4,24.221489064150894,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.05, 'e': 0.047584330476474465}",30,21,18.647218415081603,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.05, 'e': 0.04710848717170972}",20,8,23.020795120630627,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.05, 'e': 0.04663740229999262}",20,4,25.883210469824487,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.05, 'e': 0.046171028276992696}",20,15,9.189766334159852,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
