trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.6, 'e': 0.3319189238686785}",25,0,-100.21903438648089,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",1
159,False,"{'a': 0.6, 'e': 0.3295954914015977}",20,13,5.475233507233176,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.32728832296178656}",25,19,9.782118874539293,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.6, 'e': 0.32499730470105404}",25,0,-12.099389082860025,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
162,False,"{'a': 0.6, 'e': 0.3227223235681467}",20,0,-18.86192833384945,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
163,False,"{'a': 0.6, 'e': 0.32046326730316965}",25,4,-3.4063541524347665,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.6, 'e': 0.31822002443204744}",20,5,23.114614115940306,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.3159924842610231}",25,7,-39.519438430466685,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
166,False,"{'a': 0.6, 'e': 0.31378053687119595}",20,7,-11.768375881646326,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.31158407311309755}",25,16,14.13433283937098,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.6, 'e': 0.3094029846013059}",25,11,-54.21631120613349,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
169,False,"{'a': 0.6, 'e': 0.30723716370909676}",20,14,3.585998518907971,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.30508650356313305}",20,0,-12.07314711653027,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.6, 'e': 0.30295089803819114}",20,8,-43.72318175850689,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
172,False,"{'a': 0.6, 'e': 0.3008302417519238}",20,8,-58.32458952746,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
173,False,"{'a': 0.6, 'e': 0.2987244300596603}",30,12,-3.454441802054421,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.2966333590492427}",30,15,-32.803337148290524,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.6, 'e': 0.294556925535898}",30,9,-48.21329407478838,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
176,False,"{'a': 0.6, 'e': 0.2924950270571467}",25,3,-4.36176330856194,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
177,False,"{'a': 0.6, 'e': 0.2904475618677467}",20,13,8.203756128192563,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.6, 'e': 0.28841442893467245}",25,13,-10.800151762318478,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.28639552793212975}",20,0,-24.53486406516989,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
180,False,"{'a': 0.6, 'e': 0.28439075923660484}",25,0,29.71759311321149,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.6, 'e': 0.28240002392194863}",25,11,-6.387491407086331,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
182,False,"{'a': 0.6, 'e': 0.28042322375449497}",20,0,-90.89921536994873,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
183,False,"{'a': 0.6, 'e': 0.2784602611882135}",25,0,12.525777925339483,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
